assembly_accession	taxid	organism_name	infraspecific_name	file_path
GCF_001677335.1	1300349	Porphyrobacter dokdonensis DSW-74	strain=DSW-74	models/p/porphyrobacter/Porphyrobacter_dokdonensis_DSW_74.xml.gz
GCF_000512235.1	909663	Syntrophorhabdus aromaticivorans UI	strain=UI	models/s/syntrophorhabdus/Syntrophorhabdus_aromaticivorans_UI.xml.gz
GCF_001885765.1	328396	Enterococcus aquimarinus	strain=DSM 17690	models/e/enterococcus/Enterococcus_aquimarinus_DSM_17690.xml.gz
GCF_000332115.1	592029	Nonlabens dokdonensis DSW-6	strain=DSW-6	models/n/nonlabens/Nonlabens_dokdonensis_DSW_6.xml.gz
GCF_000969835.1	927665	Parabacteroides goldsteinii DSM 19448 = WAL 12034	strain=DSM 19448	models/p/parabacteroides/Parabacteroides_goldsteinii_DSM_19448_WAL_12034.xml.gz
GCF_000210575.1	717959	Alistipes shahii WAL 8301	strain=WAL 8301	models/a/alistipes/Alistipes_shahii_WAL_8301.xml.gz
GCF_001904655.1	247279	Chroogloeocystis siderophila 5.2 s.c.1	strain=5.2 s.c.1	models/c/chroogloeocystis/Chroogloeocystis_siderophila_5_2_s_c_1.xml.gz
GCF_000429825.1	1121347	Cohnella thermotolerans DSM 17683	strain=DSM 17683	models/c/cohnella/Cohnella_thermotolerans_DSM_17683.xml.gz
GCF_900129935.1	1121420	Desulfosporosinus lacus DSM 15449	strain=DSM 15449	models/d/desulfosporosinus/Desulfosporosinus_lacus_DSM_15449.xml.gz
GCF_002000025.1	329993	Colwellia aestuarii	strain=KCTC 12480	models/c/colwellia/Colwellia_aestuarii_KCTC_12480.xml.gz
GCF_000717335.1	330084	Amycolatopsis jejuensis	strain=NRRL B-24427	models/a/amycolatopsis/Amycolatopsis_jejuensis_NRRL_B_24427.xml.gz
GCF_000196815.1	330214	Nitrospira defluvii		models/n/nitrospira/Nitrospira_defluvii.xml.gz
GCF_001043175.1	330734	Marinobacter psychrophilus	strain=20041	models/m/marinobacter/Marinobacter_psychrophilus_20041.xml.gz
GCF_001046875.1	1193518	Tetrasphaera jenkinsii Ben 74	strain=Ben 74	models/t/tetrasphaera/Tetrasphaera_jenkinsii_Ben_74.xml.gz
GCF_002091475.1	1219041	Sphingomonas azotifigens NBRC 15497	strain=NBRC 15497	models/s/sphingomonas/Sphingomonas_azotifigens_NBRC_15497.xml.gz
GCF_001552435.1	1223526	Kribbia dieselivorans NBRC 106261	strain=NBRC 106261	models/k/kribbia/Kribbia_dieselivorans_NBRC_106261.xml.gz
GCF_900163835.1	1255698	Mycetocola reblochoni REB411	strain=EB411	models/m/mycetocola/Mycetocola_reblochoni_REB411.xml.gz
GCF_002117125.1	331648	Nonlabens spongiae	strain=JCM 13191	models/n/nonlabens/Nonlabens_spongiae_JCM_13191.xml.gz
GCF_001437075.1	331679	Pediococcus stilesii	strain=DSM 18001	models/p/pediococcus/Pediococcus_stilesii_DSM_18001.xml.gz
GCF_000332155.1	402777	Kamptonema formosum PCC 6407	strain=PCC 6407	models/k/kamptonema/Kamptonema_formosum_PCC_6407.xml.gz
GCF_000091125.1	452662	Sphingobium japonicum UT26S	strain=UT26S	models/s/sphingobium/Sphingobium_japonicum_UT26S.xml.gz
GCF_000092425.1	649638	Truepera radiovictrix DSM 17093	strain=DSM 17093	models/t/truepera/Truepera_radiovictrix_DSM_17093.xml.gz
GCF_000019905.1	262543	Exiguobacterium sibiricum 255-15	strain=255-15	models/e/exiguobacterium/Exiguobacterium_sibiricum_255_15.xml.gz
GCF_900103565.1	332524	Actinomyces ruminicola	strain=KPR-7B	models/a/actinomyces/Actinomyces_ruminicola_KPR_7B.xml.gz
GCF_900109365.1	332977	Parapedobacter koreensis	strain=Jip14	models/p/parapedobacter/Parapedobacter_koreensis_Jip14.xml.gz
GCF_900111825.1	332999	Pedobacter suwonensis	strain=DSM 18130	models/p/pedobacter/Pedobacter_suwonensis_DSM_18130.xml.gz
GCF_001592965.1	333140	Roseivirga spongicola	strain=UST030701-084	models/r/roseivirga/Roseivirga_spongicola_UST030701_084.xml.gz
GCF_000158075.1	518636	[Clostridium] asparagiforme DSM 15981	strain=DSM 15981	models/c/clostridium/Clostridium_asparagiforme_DSM_15981.xml.gz
GCF_900061445.1	333962	Providencia heimbachae	strain=P12672	models/p/providencia/Providencia_heimbachae_P12672.xml.gz
GCF_900114645.1	334253	Gracilibacillus orientalis	strain=CGMCC 1.4250	models/g/gracilibacillus/Gracilibacillus_orientalis_CGMCC_1_4250.xml.gz
GCF_000012305.1	259536	Psychrobacter arcticus 273-4	strain=273-4	models/p/psychrobacter/Psychrobacter_arcticus_273_4.xml.gz
GCF_000751075.1	334545	Rickettsia tamurae		models/r/rickettsia/Rickettsia_tamurae.xml.gz
GCF_001996165.1	334715	Salinivibrio proteolyticus	strain=DSM 19052	models/s/salinivibrio/Salinivibrio_proteolyticus_DSM_19052.xml.gz
GCF_000826145.2	334735	Sporosarcina koreensis	strain=S-K12	models/s/sporosarcina/Sporosarcina_koreensis_S_K12.xml.gz
GCF_001531445.1	334735	Sporosarcina koreensis	strain=Q1	models/s/sporosarcina/Sporosarcina_koreensis_Q1.xml.gz
GCF_000426765.1	1123493	Vibrio litoralis DSM 17657	strain=DSM 17657	models/v/vibrio/Vibrio_litoralis_DSM_17657.xml.gz
GCF_900099735.1	335973	Arthrobacter subterraneus	strain=NP_1H	models/a/arthrobacter/Arthrobacter_subterraneus_NP_1H.xml.gz
GCF_000233775.1	580340	Thermovirga lienii DSM 17291	strain=DSM 17291	models/t/thermovirga/Thermovirga_lienii_DSM_17291.xml.gz
GCF_900102505.1	336292	Paracoccus tibetensis	strain=CGMCC 1.8925	models/p/paracoccus/Paracoccus_tibetensis_CGMCC_1_8925.xml.gz
GCF_001431485.1	336566	Stenotrophomonas ginsengisoli	strain=DSM 24757	models/s/stenotrophomonas/Stenotrophomonas_ginsengisoli_DSM_24757.xml.gz
GCF_900111395.1	1123402	Thorsellia anophelis DSM 18579	strain=DSM 18579	models/t/thorsellia/Thorsellia_anophelis_DSM_18579.xml.gz
GCF_000381545.1	1123057	Rhodonellum psychrophilum GCM71 = DSM 17998	strain=DSM 17998	models/r/rhodonellum/Rhodonellum_psychrophilum_GCM71_DSM_17998.xml.gz
GCF_000241055.1	1045004	Oenococcus kitaharae DSM 17330	strain=DSM 17330	models/o/oenococcus/Oenococcus_kitaharae_DSM_17330.xml.gz
GCF_000373265.1	1122967	Pontibacter roseus DSM 17521	strain=DSM 17521	models/p/pontibacter/Pontibacter_roseus_DSM_17521.xml.gz
GCF_000012585.1	340177	Chlorobium chlorochromatii CaD3	strain=CaD3	models/c/chlorobium/Chlorobium_chlorochromatii_CaD3.xml.gz
GCF_001730235.1	337097	Vulcanibacillus modesticaldus	strain=BR	models/v/vulcanibacillus/Vulcanibacillus_modesticaldus_BR.xml.gz
GCF_900142665.1	337701	Roseovarius pacificus	strain=DSM 29589	models/r/roseovarius/Roseovarius_pacificus_DSM_29589.xml.gz
GCF_000429365.1	1121479	Pseudodonghicola xiamenensis DSM 18339	strain=DSM 18339	models/p/pseudodonghicola/Pseudodonghicola_xiamenensis_DSM_18339.xml.gz
GCF_002105755.1	1041522	Mycobacterium colombiense CECT 3035	strain=CECT 3035	models/m/mycobacterium/Mycobacterium_colombiense_CECT_3035.xml.gz
GCF_000620765.1	1121433	Desulfovermiculus halophilus DSM 18834	strain=DSM 18834	models/d/desulfovermiculus/Desulfovermiculus_halophilus_DSM_18834.xml.gz
GCF_000244895.1	768710	Desulfosporosinus youngiae DSM 17734	strain=DSM 17734	models/d/desulfosporosinus/Desulfosporosinus_youngiae_DSM_17734.xml.gz
GCF_001458435.1	340021	Thalassobius mediterraneus	strain=CECT 5383	models/t/thalassobius/Thalassobius_mediterraneus_CECT_5383.xml.gz
GCF_000750955.1	1437425	Criblamydia sequanensis CRIB-18	strain=CRIB-18	models/c/criblamydia/Criblamydia_sequanensis_CRIB_18.xml.gz
GCF_000423865.1	1123376	Thermodesulfovibrio thiophilus DSM 17215	strain=DSM 17215	models/t/thermodesulfovibrio/Thermodesulfovibrio_thiophilus_DSM_17215.xml.gz
GCF_000430685.1	1123405	Tuberibacillus calidus DSM 17572	strain=DSM 17572	models/t/tuberibacillus/Tuberibacillus_calidus_DSM_17572.xml.gz
GCF_001747425.1	340345	Actinoalloteichus hymeniacidonis	strain=HPA177(T) (=DSM 45092(T))	models/a/actinoalloteichus/Actinoalloteichus_hymeniacidonis_HPA177_T_DSM_45092_T.xml.gz
GCF_000429925.1	1121394	Desulfatirhabdium butyrativorans DSM 18734	strain=DSM 18734	models/d/desulfatirhabdium/Desulfatirhabdium_butyrativorans_DSM_18734.xml.gz
GCF_000374525.1	1120983	Amorphus coralli DSM 19760	strain=DSM 19760	models/a/amorphus/Amorphus_coralli_DSM_19760.xml.gz
GCF_000711735.1	1121447	Desulfovibrio frigidus DSM 17176	strain=DSM 17176	models/d/desulfovibrio/Desulfovibrio_frigidus_DSM_17176.xml.gz
GCF_900113335.1	341036	Desulfotomaculum arcticum	strain=DSM 17038	models/d/desulfotomaculum/Desulfotomaculum_arcticum_DSM_17038.xml.gz
GCF_001267925.1	1262470	Herbaspirillum hiltneri N3	strain=N3	models/h/herbaspirillum/Herbaspirillum_hiltneri_N3.xml.gz
GCF_900129135.1	1122155	Lactonifactor longoviformis DSM 17459	strain=DSM 17459	models/l/lactonifactor/Lactonifactor_longoviformis_DSM_17459.xml.gz
GCF_000686665.1	1121333	[Clostridium] saccharogumia DSM 17460	strain=DSM 17460	models/c/clostridium/Clostridium_saccharogumia_DSM_17460.xml.gz
GCF_000147675.1	596315	Peptostreptococcus stomatis DSM 17678	strain=DSM 17678	models/p/peptostreptococcus/Peptostreptococcus_stomatis_DSM_17678.xml.gz
GCF_000425105.1	1120958	Agrococcus lahaulensis DSM 17612	strain=DSM 17612	models/a/agrococcus/Agrococcus_lahaulensis_DSM_17612.xml.gz
GCF_000519205.1	1120984	Amycolatopsis taiwanensis DSM 45107	strain=DSM 45107	models/a/amycolatopsis/Amycolatopsis_taiwanensis_DSM_45107.xml.gz
GCF_001311035.1	1291051	[Clostridium] glycyrrhizinilyticum JCM 13369	strain=JCM 13369	models/c/clostridium/Clostridium_glycyrrhizinilyticum_JCM_13369.xml.gz
GCF_001418015.1	342955	Lacinutrix mariniflava	strain=AKS432	models/l/lacinutrix/Lacinutrix_mariniflava_AKS432.xml.gz
GCF_001298675.1	343013	Acidovorax caeni	strain=R-24608	models/a/acidovorax/Acidovorax_caeni_R_24608.xml.gz
GCF_900163565.1	1255656	Agrococcus casei LMG 22410	strain=LMG 22410	models/a/agrococcus/Agrococcus_casei_LMG_22410.xml.gz
GCF_000403375.2	1235795	Paenibacillus barengoltzii G22	strain=G22	models/p/paenibacillus/Paenibacillus_barengoltzii_G22.xml.gz
GCF_000153725.1	314265	Pelagibaca bermudensis HTCC2601	strain=HTCC2601	models/p/pelagibaca/Pelagibaca_bermudensis_HTCC2601.xml.gz
GCF_002197685.1	344880	Sphingomonas dokdonensis	strain=DSM 21029	models/s/sphingomonas/Sphingomonas_dokdonensis_DSM_21029.xml.gz
GCF_000422705.1	1121897	Flavobacterium soli DSM 19725	strain=DSM 19725	models/f/flavobacterium/Flavobacterium_soli_DSM_19725.xml.gz
GCF_001431405.1	344882	Pseudoxanthomonas dokdonensis	strain=DSM 21858	models/p/pseudoxanthomonas/Pseudoxanthomonas_dokdonensis_DSM_21858.xml.gz
GCF_000429445.1	1120967	Algoriphagus terrigena DSM 22685	strain=DSM 22685	models/a/algoriphagus/Algoriphagus_terrigena_DSM_22685.xml.gz
GCF_900142395.1	1121959	Hymenobacter psychrotolerans DSM 18569	strain=DSM 18569	models/h/hymenobacter/Hymenobacter_psychrotolerans_DSM_18569.xml.gz
GCF_000964085.1	345309	Luteibacter yeojuensis	strain=SU11	models/l/luteibacter/Luteibacter_yeojuensis_SU11.xml.gz
GCF_000817955.1	345632	Geobacter pickeringii	strain=G13	models/g/geobacter/Geobacter_pickeringii_G13.xml.gz
GCF_000383915.1	1089544	Amycolatopsis benzoatilytica AK 16/65	strain=AK 16/65	models/a/amycolatopsis/Amycolatopsis_benzoatilytica_AK_16_65.xml.gz
GCF_001189965.1	346179	Herbaspirillum rhizosphaerae	strain=UMS-37	models/h/herbaspirillum/Herbaspirillum_rhizosphaerae_UMS_37.xml.gz
GCF_000768355.1	1385517	Lysobacter daejeonensis GH1-9	strain=GH1-9	models/l/lysobacter/Lysobacter_daejeonensis_GH1_9.xml.gz
GCF_001413955.1	346185	Flagellimonas eckloniae	strain=DOKDO 007	models/f/flagellimonas/Flagellimonas_eckloniae_DOKDO_007.xml.gz
GCF_001306415.1	1300341	Croceitalea dokdonensis DOKDO 023	strain=DOKDO 023	models/c/croceitalea/Croceitalea_dokdonensis_DOKDO_023.xml.gz
GCF_000373245.1	1121859	Echinicola pacifica DSM 19836	strain=DSM 19836	models/e/echinicola/Echinicola_pacifica_DSM_19836.xml.gz
GCF_000379845.1	1122243	Moraxella boevrei DSM 14165	strain=DSM 14165	models/m/moraxella/Moraxella_boevrei_DSM_14165.xml.gz
GCF_000376105.1	1121022	Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896	strain=DSM 16100	models/a/asticcacaulis/Asticcacaulis_benevestitus_DSM_16100_ATCC_BAA_896.xml.gz
GCF_000264295.1	1163407	Rhodanobacter spathiphylli B39	strain=B39	models/r/rhodanobacter/Rhodanobacter_spathiphylli_B39.xml.gz
GCF_000349325.1	1214101	Streptomyces davawensis JCM 4913	strain=JCM 4913	models/s/streptomyces/Streptomyces_davawensis_JCM_4913.xml.gz
GCF_001437435.1	348151	Lactobacillus siliginis	strain=DSM 22696	models/l/lactobacillus/Lactobacillus_siliginis_DSM_22696.xml.gz
GCF_000423465.1	1122999	Propionicicella superfundia DSM 22317	strain=DSM 22317	models/p/propionicicella/Propionicicella_superfundia_DSM_22317.xml.gz
GCF_000744815.1	1449353	Streptacidiphilus oryzae TH49	strain=TH49	models/s/streptacidiphilus/Streptacidiphilus_oryzae_TH49.xml.gz
GCF_000577275.1	348824	Rhizobium favelukesii	strain=LPU83	models/r/rhizobium/Rhizobium_favelukesii_LPU83.xml.gz
GCF_900142025.1	1121432	Desulfotomaculum thermosubterraneum DSM 16057	strain=DSM 16057	models/d/desulfotomaculum/Desulfotomaculum_thermosubterraneum_DSM_16057.xml.gz
GCF_000429345.1	1121468	Desulfovirgula thermocuniculi DSM 16036	strain=DSM 16036	models/d/desulfovirgula/Desulfovirgula_thermocuniculi_DSM_16036.xml.gz
GCF_900111755.1	349064	Thalassotalea agarivorans	strain=DSM 19706	models/t/thalassotalea/Thalassotalea_agarivorans_DSM_19706.xml.gz
GCF_900103535.1	349095	Megasphaera paucivorans	strain=DSM 16981	models/m/megasphaera/Megasphaera_paucivorans_DSM_16981.xml.gz
GCF_000226315.1	856793	Micavibrio aeruginosavorus ARL-13	strain=ARL-13	models/m/micavibrio/Micavibrio_aeruginosavorus_ARL_13.xml.gz
GCF_000835165.1	1224162	Corynebacterium marinum DSM 44953	strain=DSM 44953	models/c/corynebacterium/Corynebacterium_marinum_DSM_44953.xml.gz
GCF_900141845.1	1121302	Clostridium cavendishii DSM 21758	strain=DSM 21758	models/c/clostridium/Clostridium_cavendishii_DSM_21758.xml.gz
GCF_000686705.1	1121319	Clostridium hydrogeniformans DSM 21757	strain=DSM 21757	models/c/clostridium/Clostridium_hydrogeniformans_DSM_21757.xml.gz
GCF_000425425.1	1121887	Flavobacterium daejeonense DSM 17708	strain=DSM 17708	models/f/flavobacterium/Flavobacterium_daejeonense_DSM_17708.xml.gz
GCF_000430025.1	1121899	Flavobacterium suncheonense GH29-5 = DSM 17707	strain=DSM 17707	models/f/flavobacterium/Flavobacterium_suncheonense_GH29_5_DSM_17707.xml.gz
GCF_000014785.1	187272	Alkalilimnicola ehrlichii MLHE-1	strain=MLHE-1	models/a/alkalilimnicola/Alkalilimnicola_ehrlichii_MLHE_1.xml.gz
GCF_000283575.1	693746	Oscillibacter valericigenes Sjm18-20	strain=Sjm18-20	models/o/oscillibacter/Oscillibacter_valericigenes_Sjm18_20.xml.gz
GCF_000482485.1	1122940	Paucisalibacillus globulus DSM 18846	strain=DSM 18846	models/p/paucisalibacillus/Paucisalibacillus_globulus_DSM_18846.xml.gz
GCF_002224225.1	351345	Polynucleobacter cosmopolitanus	strain=MWH-MoIso2	models/p/polynucleobacter/Polynucleobacter_cosmopolitanus_MWH_MoIso2.xml.gz
GCF_000016745.1	351605	Geobacter uraniireducens Rf4	strain=Rf4	models/g/geobacter/Geobacter_uraniireducens_Rf4.xml.gz
GCF_900116635.1	351659	Xenorhabdus koppenhoeferi	strain=DSM 18168	models/x/xenorhabdus/Xenorhabdus_koppenhoeferi_DSM_18168.xml.gz
GCF_000968195.1	351671	Xenorhabdus doucetiae	strain=FRM16	models/x/xenorhabdus/Xenorhabdus_doucetiae_FRM16.xml.gz
GCF_000531755.1	1427517	Xenorhabdus cabanillasii JM26	strain=JM26	models/x/xenorhabdus/Xenorhabdus_cabanillasii_JM26.xml.gz
GCF_001721185.1	351679	Xenorhabdus hominickii	strain=ANU1	models/x/xenorhabdus/Xenorhabdus_hominickii_ANU1.xml.gz
GCF_000747075.1	1384054	Arenimonas malthae CC-JY-1	strain=CC-JY-1	models/a/arenimonas/Arenimonas_malthae_CC_JY_1.xml.gz
GCF_000422345.1	1122224	Spongiibacter marinus DSM 19753	strain=DSM 19753	models/s/spongiibacter/Spongiibacter_marinus_DSM_19753.xml.gz
GCF_900110245.1	354355	Niastella yeongjuensis	strain=DSM 17621	models/n/niastella/Niastella_yeongjuensis_DSM_17621.xml.gz
GCF_000246855.1	700598	Niastella koreensis GR20-10	strain=GR20-10	models/n/niastella/Niastella_koreensis_GR20_10.xml.gz
GCF_900155965.1	354630	Mucilaginibacter lappiensis	strain=ATCC BAA-1855	models/m/mucilaginibacter/Mucilaginibacter_lappiensis_ATCC_BAA_1855.xml.gz
GCF_900111095.1	355243	Amphritea atlantica	strain=DSM 18887	models/a/amphritea/Amphritea_atlantica_DSM_18887.xml.gz
GCF_000428465.1	1121278	Chitinimonas koreensis DSM 17726	strain=DSM 17726	models/c/chitinimonas/Chitinimonas_koreensis_DSM_17726.xml.gz
GCF_900111495.1	356305	Chryseobacterium wanjuense	strain=DSM 17724	models/c/chryseobacterium/Chryseobacterium_wanjuense_DSM_17724.xml.gz
GCF_000430765.1	1121092	Bacillus kribbensis DSM 17871	strain=DSM 17871	models/b/bacillus/Bacillus_kribbensis_DSM_17871.xml.gz
GCF_900106695.1	356660	Albimonas donghaensis	strain=DSM 17890	models/a/albimonas/Albimonas_donghaensis_DSM_17890.xml.gz
GCF_000376945.1	1122158	Leeia oryzae DSM 17879	strain=DSM 17879	models/l/leeia/Leeia_oryzae_DSM_17879.xml.gz
GCF_000376885.1	1122228	Alloscardovia criceti DSM 17774	strain=DSM 17774	models/a/alloscardovia/Alloscardovia_criceti_DSM_17774.xml.gz
GCF_000741765.1	356829	Bifidobacterium tsurumiense	strain=JCM 13495	models/b/bifidobacterium/Bifidobacterium_tsurumiense_JCM_13495.xml.gz
GCF_900090295.1	356852	Micromonospora coxensis	strain=DSM 45161	models/m/micromonospora/Micromonospora_coxensis_DSM_45161.xml.gz
GCF_000463155.2	1388748	Siccibacter turicensis LMG 23730	strain=LMG 23730	models/s/siccibacter/Siccibacter_turicensis_LMG_23730.xml.gz
GCF_000383435.1	1267003	Lactobacillus parabrevis ATCC 53295	strain=RODS-DW	models/l/lactobacillus/Lactobacillus_parabrevis_ATCC_53295_RODS_DW.xml.gz
GCF_000015285.1	357804	Psychromonas ingrahamii 37	strain=37	models/p/psychromonas/Psychromonas_ingrahamii_37.xml.gz
GCF_000422385.1	1122238	Microbacterium indicum DSM 19969	strain=DSM 19969	models/m/microbacterium/Microbacterium_indicum_DSM_19969.xml.gz
GCF_001612885.1	1210074	Nocardia harenae NBRC 108248	strain=NBRC 108248	models/n/nocardia/Nocardia_harenae_NBRC_108248.xml.gz
GCF_000233455.1	742733	[Clostridium] citroniae WAL-17108	strain=WAL-17108	models/c/clostridium/Clostridium_citroniae_WAL_17108.xml.gz
GCF_000725485.1	359159	Nonomuraea candida	strain=NRRL B-24552	models/n/nonomuraea/Nonomuraea_candida_NRRL_B_24552.xml.gz
GCF_000016065.1	323850	Shewanella loihica PV-4	strain=PV-4	models/s/shewanella/Shewanella_loihica_PV_4.xml.gz
GCF_000380645.1	1123258	Smaragdicoccus niigatensis DSM 44881 = NBRC 103563	strain=DSM 44881	models/s/smaragdicoccus/Smaragdicoccus_niigatensis_DSM_44881_NBRC_103563.xml.gz
GCF_000023705.1	583345	Methylotenera mobilis JLW8	strain=JLW8	models/m/methylotenera/Methylotenera_mobilis_JLW8.xml.gz
GCF_000702445.1	1340493	Bryobacter aggregatus MPL3	strain=MPL3	models/b/bryobacter/Bryobacter_aggregatus_MPL3.xml.gz
GCF_000255705.1	1123508	Zavarzinella formosa DSM 19928	strain=DSM 19928	models/z/zavarzinella/Zavarzinella_formosa_DSM_19928.xml.gz
GCF_000255655.1	1123242	Schlesneria paludicola DSM 18645	strain=DSM 18645	models/s/schlesneria/Schlesneria_paludicola_DSM_18645.xml.gz
GCF_002150765.1	360086	Lentzea kentuckyensis	strain=NRRL B-24416	models/l/lentzea/Lentzea_kentuckyensis_NRRL_B_24416.xml.gz
GCF_001552275.1	1220586	Amphibacillus sediminis NBRC 103570	strain=NBRC 103570	models/a/amphibacillus/Amphibacillus_sediminis_NBRC_103570.xml.gz
GCF_000152985.1	398720	Leeuwenhoekiella blandensis MED217	strain=MED217	models/l/leeuwenhoekiella/Leeuwenhoekiella_blandensis_MED217.xml.gz
GCF_900163755.1	360316	Crenothrix polyspora		models/c/crenothrix/Crenothrix_polyspora.xml.gz
GCF_001306055.1	360411	Bellilinea caldifistulae	strain=GOMI-1	models/b/bellilinea/Bellilinea_caldifistulae_GOMI_1.xml.gz
GCF_001050235.1	360412	Longilinea arvoryzae	strain=KOME-1	models/l/longilinea/Longilinea_arvoryzae_KOME_1.xml.gz
GCF_000174195.1	622312	Roseburia inulinivorans DSM 16841	strain=DSM 16841	models/r/roseburia/Roseburia_inulinivorans_DSM_16841.xml.gz
GCF_000970455.1	361041	Devosia soli	strain=GH2-10	models/d/devosia/Devosia_soli_GH2_10.xml.gz
GCF_000378105.1	1123070	Rubritalea marina DSM 17716	strain=DSM 17716	models/r/rubritalea/Rubritalea_marina_DSM_17716.xml.gz
GCF_000188035.1	875093	Streptococcus pseudoporcinus LQ 940-04	strain=LQ 940-04	models/s/streptococcus/Streptococcus_pseudoporcinus_LQ_940_04.xml.gz
GCF_001281485.1	361183	Altererythrobacter epoxidivorans	strain=CGMCC 1.7731	models/a/altererythrobacter/Altererythrobacter_epoxidivorans_CGMCC_1_7731.xml.gz
GCF_900162685.1	361279	Terribacillus halophilus	strain=T-h1	models/t/terribacillus/Terribacillus_halophilus_T_h1.xml.gz
GCF_000189535.1	930171	Pseudarthrobacter phenanthrenivorans Sphe3	strain=Sphe3	models/p/pseudarthrobacter/Pseudarthrobacter_phenanthrenivorans_Sphe3.xml.gz
GCF_000830005.1	362257	Streptomyces vietnamensis	strain=GIM4.0001	models/s/streptomyces/Streptomyces_vietnamensis_GIM4_0001.xml.gz
GCF_000430805.1	1121275	Chitinilyticum aquatile DSM 21506	strain=DSM 21506	models/c/chitinilyticum/Chitinilyticum_aquatile_DSM_21506.xml.gz
GCF_001281045.1	362837	Spiroplasma cantharicola	strain=CC-1	models/s/spiroplasma/Spiroplasma_cantharicola_CC_1.xml.gz
GCF_000380505.1	1122132	Kaistia granuli DSM 23481	strain=Ko04	models/k/kaistia/Kaistia_granuli_DSM_23481_Ko04.xml.gz
GCF_000235885.1	1002367	Prevotella stercorea DSM 18206	strain=DSM 18206	models/p/prevotella/Prevotella_stercorea_DSM_18206.xml.gz
GCF_000178855.1	485913	Ktedonobacter racemifer DSM 44963	strain=SOSP1-21	models/k/ktedonobacter/Ktedonobacter_racemifer_DSM_44963_SOSP1_21.xml.gz
GCF_000423665.1	1123262	Solirubrobacter soli DSM 22325	strain=DSM 22325	models/s/solirubrobacter/Solirubrobacter_soli_DSM_22325.xml.gz
GCF_000526655.1	935938	Bacillus ginsengihumi J57	strain=J57	models/b/bacillus/Bacillus_ginsengihumi_J57.xml.gz
GCF_000430785.1	1121093	Bacillus panaciterrae DSM 19096	strain=DSM 19096	models/b/bacillus/Bacillus_panaciterrae_DSM_19096.xml.gz
GCF_001418005.1	363953	Chelatococcus sambhunathii	strain=DSM 18167	models/c/chelatococcus/Chelatococcus_sambhunathii_DSM_18167.xml.gz
GCF_900141795.1	364032	Sulfurivirga caldicuralii	strain=DSM 17737	models/s/sulfurivirga/Sulfurivirga_caldicuralii_DSM_17737.xml.gz
GCF_000430725.1	1121030	Azohydromonas australica DSM 1124	strain=DSM 1124	models/a/azohydromonas/Azohydromonas_australica_DSM_1124.xml.gz
GCF_900105995.1	364197	Pseudomonas pohangensis	strain=DSM 17875	models/p/pseudomonas/Pseudomonas_pohangensis_DSM_17875.xml.gz
GCF_900111675.1	364199	Paracoccus homiensis	strain=DSM 17862	models/p/paracoccus/Paracoccus_homiensis_DSM_17862.xml.gz
GCF_900109295.1	364200	Loktanella koreensis	strain=DSM 17925	models/l/loktanella/Loktanella_koreensis_DSM_17925.xml.gz
GCF_000297495.1	1210046	Janibacter hoylei PVAS-1	strain=PVAS-1	models/j/janibacter/Janibacter_hoylei_PVAS_1.xml.gz
GCF_000015565.1	391735	Verminephrobacter eiseniae EF01-2	strain=EF01-2	models/v/verminephrobacter/Verminephrobacter_eiseniae_EF01_2.xml.gz
GCF_000014285.2	391165	Granulibacter bethesdensis CGDNIH1	strain=CGDNIH1	models/g/granulibacter/Granulibacter_bethesdensis_CGDNIH1.xml.gz
GCF_000425405.1	1121879	Ferrimonas kyonanensis DSM 18153	strain=DSM 18153	models/f/ferrimonas/Ferrimonas_kyonanensis_DSM_18153.xml.gz
GCF_000422645.1	1121878	Ferrimonas futtsuensis DSM 18154	strain=DSM 18154	models/f/ferrimonas/Ferrimonas_futtsuensis_DSM_18154.xml.gz
GCF_000426465.1	1121285	Chryseobacterium caeni DSM 17710	strain=DSM 17710	models/c/chryseobacterium/Chryseobacterium_caeni_DSM_17710.xml.gz
GCF_900109875.1	365346	Paenisporosarcina quisquiliarum	strain=SK 55	models/p/paenisporosarcina/Paenisporosarcina_quisquiliarum_SK_55.xml.gz
GCF_000271665.2	1192197	Pelosinus fermentans JBW45	strain=JBW45	models/p/pelosinus/Pelosinus_fermentans_JBW45.xml.gz
GCF_000373365.1	365528	Frankia discariae	strain=BCU110501	models/f/frankia/Frankia_discariae_BCU110501.xml.gz
GCF_000745835.1	1121106	Belnapia moabensis DSM 16746	strain=DSM 16746	models/b/belnapia/Belnapia_moabensis_DSM_16746.xml.gz
GCF_001548055.1	366522	Sulfurospirillum cavolei	strain=UCH003	models/s/sulfurospirillum/Sulfurospirillum_cavolei_UCH003.xml.gz
GCF_900128995.1	366533	Loktanella atrilutea	strain=DSM 29326	models/l/loktanella/Loktanella_atrilutea_DSM_29326.xml.gz
GCF_900102195.1	366584	Pseudonocardia oroxyli	strain=CGMCC 4.3143	models/p/pseudonocardia/Pseudonocardia_oroxyli_CGMCC_4_3143.xml.gz
GCF_000421225.1	1123065	Ruania albidiflava DSM 18029	strain=DSM 18029	models/r/ruania/Ruania_albidiflava_DSM_18029.xml.gz
GCF_000720925.1	367299	Phycicoccus jejuensis	strain=NRRL B-24460	models/p/phycicoccus/Phycicoccus_jejuensis_NRRL_B_24460.xml.gz
